0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1007	-1	-1	1153	-1	-1	1058	452	-1	-1
-1	0	458	1461	1002	-1	-1	800	-1	1321	-1	-1	-1	-1	-1	742	-1	-1	-1	-1
-1	458	0	1060	-1	-1	-1	486	427	-1	-1	-1	-1	-1	-1	-1	-1	1692	1053	-1
-1	1461	1060	0	-1	-1	-1	-1	-1	-1	794	-1	-1	-1	-1	978	441	-1	-1	-1
-1	1002	-1	-1	0	-1	-1	-1	-1	-1	-1	1098	207	-1	-1	-1	-1	-1	1712	1688
-1	-1	-1	-1	-1	0	-1	-1	915	-1	-1	1489	-1	791	1547	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	0	-1	-1	-1	832	-1	-1	1367	-1	-1	-1	-1	-1	664
-1	800	486	-1	-1	-1	-1	0	-1	-1	1484	-1	527	1219	1021	-1	-1	2116	-1	521
-1	-1	427	-1	-1	915	-1	-1	0	-1	-1	-1	-1	160	-1	881	-1	-1	-1	-1
-1	1321	-1	-1	-1	-1	-1	-1	-1	0	697	-1	-1	-1	-1	1021	-1	-1	-1	-1
1007	-1	-1	794	-1	-1	832	1484	-1	697	0	-1	1067	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	1098	1489	-1	-1	-1	-1	-1	0	316	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	207	-1	-1	527	-1	-1	1067	316	0	-1	243	1272	-1	-1	-1	1643
1153	-1	-1	-1	-1	791	1367	1219	160	-1	-1	-1	-1	0	-1	767	-1	-1	-1	-1
-1	-1	-1	-1	-1	1547	-1	1021	-1	-1	-1	-1	243	-1	0	-1	1548	1528	-1	-1
-1	742	-1	978	-1	-1	-1	-1	881	1021	-1	-1	1272	767	-1	0	-1	1329	-1	-1
1058	-1	-1	441	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1548	-1	0	-1	-1	-1
452	-1	1692	-1	-1	-1	-1	2116	-1	-1	-1	-1	-1	-1	1528	1329	-1	0	342	-1
-1	-1	1053	-1	1712	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	342	0	-1
-1	-1	-1	-1	1688	-1	664	521	-1	-1	-1	-1	1643	-1	-1	-1	-1	-1	-1	0
