0	-1	-1	-1	-1	-1	-1	-1	-1	681	-1	-1	-1	-1	2035	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2477	-1	-1	-1	-1	-1
-1	0	-1	-1	-1	2177	-1	-1	-1	-1	-1	2068	-1	-1	656	-1	-1	-1	-1	-1	-1	-1	-1	-1	1135	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	0	-1	-1	-1	-1	2647	1077	-1	-1	-1	-1	1375	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	0	-1	-1	3242	-1	2414	-1	2033	-1	-1	441	-1	-1	-1	-1	-1	1124	-1	-1	-1	-1	-1	-1	-1	3398	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	543	-1	-1	-1	1153	-1	-1	1292	1225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1722	-1	-1	-1	-1
-1	2177	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2026	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2748	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	3242	-1	-1	0	-1	3053	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	409	-1	-1	-1	-1	-1	-1	-1	-1	1346	-1	-1	-1	-1	-1	1850	1331	-1	-1
-1	-1	2647	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	2266	-1	-1	1278	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2176	-1	-1	-1	-1
-1	-1	1077	2414	-1	-1	3053	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1385	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	1523	-1	-1	-1	-1	-1	-1	-1	186	-1
681	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	1743	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	2033	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1033	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	2068	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	3225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1482	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	387	-1	-1	-1	-1	-1	-1	-1	1847
